ProbeID	PrimaryAccession	RefSeqAccession	GenbankAccession	UniGeneID	EntrezGeneID	GeneSymbol	GeneName	EnsemblID	TIGRID	GO	Description	GenomicCoordinates	Cytoband
A_23_P100278	NM_000833	NM_000833	NM_000833	Hs.567280	2903	GRIN2A	"glutamate receptor, ionotropic, N-methyl D-aspartate 2A"	ENST00000330684	THC2475567	GO:0000287(magnesium ion binding)|GO:0004872(receptor activity)|GO:0004972(N-methyl-D-aspartate selective glutamate receptor activity)|GO:0005216(ion channel activity)|GO:0005234(glutamate-gated ion channel activity)|GO:0005509(calcium ion binding)|GO:0005515(protein binding)|GO:0005615(extracellular space)|GO:0005887(integral to plasma membrane)|GO:0006811(ion transport)|GO:0007215(glutamate signaling pathway)|GO:0007268(synaptic transmission)|GO:0007611(learning and/or memory)|GO:0045211(postsynaptic membrane)	"Homo sapiens glutamate receptor, ionotropic, N-methyl D-aspartate 2A (GRIN2A), mRNA [NM_000833]"	chr16:9764618-9764559	hs|16p13.2
A_23_P100292	AK024487	XM_928905	AK024487	Hs.343828	90850	ZNF598	zinc finger protein 598		THC2611438	GO:0003676(nucleic acid binding)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)	"Homo sapiens mRNA for FLJ00086 protein, partial cds. [AK024487]"	chr16:1987757-1987698	hs|16p13.3
A_23_P100315	NM_020664	NM_020664	NM_020664	Hs.9235	26063	DECR2	"2,4-dienoyl CoA reductase 2, peroxisomal"	ENST00000219481	NP1183543	"GO:0005777(peroxisome)|GO:0008152(metabolic process)|GO:0008670(2,4-dienoyl-CoA reductase (NADPH) activity)|GO:0016491(oxidoreductase activity)"	"Homo sapiens 2,4-dienoyl CoA reductase 2, peroxisomal (DECR2), mRNA [NM_020664]"	chr16:402222-402281	hs|16p13.3
A_23_P100326	NM_001039476	NM_001039476	NM_001039476	Hs.19699	8131	C16orf35	chromosome 16 open reading frame 35	ENST00000262313	THC2589758	GO:0003674(molecular_function)|GO:0003905(alkylbase DNA N-glycosylase activity)|GO:0005575(cellular_component)|GO:0006284(base-excision repair)|GO:0008150(biological_process)	"Homo sapiens chromosome 16 open reading frame 35 (C16orf35), transcript variant 2, mRNA [NM_001039476]"	chr16:75898-75839	hs|16p13.3
A_23_P100341	NM_014321	NM_014321	NM_014321	Hs.49760	23594	ORC6L	"origin recognition complex, subunit 6 like (yeast)"	ENST00000219097	THC2570603	GO:0003677(DNA binding)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005664(nuclear origin of replication recognition complex)|GO:0006260(DNA replication)	"Homo sapiens origin recognition complex, subunit 6 like (yeast) (ORC6L), mRNA [NM_014321]"	chr16:45289505-45289564	hs|16q11.2
A_23_P100344	NM_014321	NM_014321	NM_014321	Hs.49760	23594	ORC6L	"origin recognition complex, subunit 6 like (yeast)"	ENST00000219097	THC2462872	GO:0003677(DNA binding)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005664(nuclear origin of replication recognition complex)|GO:0006260(DNA replication)	"Homo sapiens origin recognition complex, subunit 6 like (yeast) (ORC6L), mRNA [NM_014321]"	chr16:45289020-45289079	hs|16q11.2
A_23_P100355	NM_002720	NM_002720	NM_002720	Hs.534338	5531	PPP4C	"protein phosphatase 4 (formerly X), catalytic subunit"	ENST00000279387	THC2526568	GO:0000226(microtubule cytoskeleton organization and biogenesis)|GO:0004704(NF-kappaB-inducing kinase activity)|GO:0004722(protein serine/threonine phosphatase activity)|GO:0005506(iron ion binding)|GO:0005634(nucleus)|GO:0005813(centrosome)|GO:0016787(hydrolase activity)|GO:0030145(manganese ion binding)|GO:0046872(metal ion binding)	"Homo sapiens protein phosphatase 4 (formerly X), catalytic subunit (PPP4C), mRNA [NM_002720]"	chr16:30003548-30003607	hs|16p11.2
A_23_P100386	NM_152456	NM_152456	NM_152456	Hs.461214	146433	C16orf77	chromosome 16 open reading frame 77	ENST00000288098	THC2769697		"Homo sapiens chromosome 16 open reading frame 77 (C16orf77), mRNA [NM_152456]"	chr16:69246063-69248052	hs|16q22.1
A_23_P100392	NM_007108	NM_007108	NM_007108	Hs.172772	6923	TCEB2	"transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)"	ENST00000262306	THC2509566	"GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0006368(RNA elongation from RNA polymerase II promoter)|GO:0006461(protein complex assembly)|GO:0006464(protein modification)|GO:0006512(ubiquitin cycle)"	"Homo sapiens transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B) (TCEB2), transcript variant 1, mRNA [NM_007108]"	chr16:2761590-2761531	hs|16p13.3
A_23_P100408	NM_006181	NM_006181	NM_006181	Hs.158336	4917	NTN2L	netrin 2-like (chicken)	ENST00000293973	THC2485448	GO:0003674(molecular_function)|GO:0005102(receptor binding)|GO:0005576(extracellular region)|GO:0005578(extracellular matrix (sensu the Metazoa research community))|GO:0005794(Golgi apparatus)|GO:0007411(axon guidance)	"Homo sapiens netrin 2-like (chicken) (NTN2L), mRNA [NM_006181]"	chr16:2462819-2462878	hs|16p13.3
A_23_P100413	NM_058219	NM_058219	NM_058219	Hs.461187	118460	EXOSC6	exosome component 6	ENST00000288063	THC2527087	GO:0000175(3'-5'-exoribonuclease activity)|GO:0003723(RNA binding)|GO:0006396(RNA processing)	"Homo sapiens exosome component 6 (EXOSC6), mRNA [NM_058219]"	chr16:68842884-68842825	hs|16q22.1
A_23_P100420	NM_015144	NM_015144	NM_015144	Hs.156231	23174	ZCCHC14	"zinc finger, CCHC domain containing 14"	ENST00000268616	THC2462853	GO:0003676(nucleic acid binding)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)	"Homo sapiens zinc finger, CCHC domain containing 14 (ZCCHC14), mRNA [NM_015144]"	chr16:85997692-85997633	hs|16q24.2
A_23_P100441	NM_024946	NM_024946	NM_024946	Hs.396740	80011	NIP30	NEFA-interacting nuclear protein NIP30		THC2472563	GO:0005634(nucleus)	"Homo sapiens NEFA-interacting nuclear protein NIP30 (NIP30), mRNA [NM_024946]"	chr16:55744021-55743962	hs|16q13
A_23_P100455	NM_022764	NM_022764	NM_022764	Hs.343627	64779	MTHFSD	methenyltetrahydrofolate synthetase domain containing	ENST00000360900	THC2471647	GO:0000166(nucleotide binding)|GO:0003676(nucleic acid binding)|GO:0003824(catalytic activity)|GO:0008152(metabolic process)	"Homo sapiens methenyltetrahydrofolate synthetase domain containing (MTHFSD), mRNA [NM_022764]"	chr16:85122201-85122142	hs|16q24.1
A_23_P100469	NM_017853	NM_017853	NM_017853	Hs.134406	54957	TXNL4B	thioredoxin-like 4B	ENST00000268483	THC2626224	"GO:0000398(nuclear mRNA splicing, via spliceosome)|GO:0005634(nucleus)|GO:0005681(spliceosome)|GO:0006118(electron transport)|GO:0007049(cell cycle)|GO:0007067(mitosis)|GO:0008380(RNA splicing)|GO:0030612(arsenate reductase (thioredoxin) activity)"	"Homo sapiens thioredoxin-like 4B (TXNL4B), mRNA [NM_017853]"	chr16:70680518-70680459	hs|16q22.3
A_23_P100478	NM_032188	NM_032188	NM_032188	Hs.533803	84148	MYST1	MYST histone acetyltransferase 1	ENST00000219797	THC2463105	"GO:0000785(chromatin)|GO:0003682(chromatin binding)|GO:0004402(histone acetyltransferase activity)|GO:0005634(nucleus)|GO:0006333(chromatin assembly or disassembly)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008134(transcription factor binding)|GO:0008270(zinc ion binding)|GO:0016407(acetyltransferase activity)|GO:0016481(negative regulation of transcription)|GO:0016568(chromatin modification)|GO:0016573(histone acetylation)|GO:0016740(transferase activity)|GO:0030099(myeloid cell differentiation)|GO:0045941(positive regulation of transcription)|GO:0046872(metal ion binding)"	"Homo sapiens MYST histone acetyltransferase 1 (MYST1), mRNA [NM_032188]"	chr16:31046907-31048843	hs|16p11.2
A_23_P100486	NM_206824	NM_206824	NM_206824	Hs.324844	79001	VKORC1	"vitamin K epoxide reductase complex, subunit 1"		THC2485708	GO:0005783(endoplasmic reticulum)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016491(oxidoreductase activity)|GO:0042373(vitamin K metabolic process)|GO:0047057(vitamin-K-epoxide reductase (warfarin-sensitive) activity)|GO:0050820(positive regulation of coagulation)	"Homo sapiens vitamin K epoxide reductase complex, subunit 1 (VKORC1), transcript variant 2, mRNA [NM_206824]"	chr16:31009934-31009875	hs|16p11.2
A_23_P100499	NM_024589	NM_024589	NM_024589	Hs.459795	79641	ROGDI	rogdi homolog (Drosophila)	ENST00000322048	NP1204611		"Homo sapiens rogdi homolog (Drosophila) (ROGDI), mRNA [NM_024589]"	chr16:4790505-4789730	hs|16p13.3
A_23_P100501	NM_002134	NM_002134	NM_002134	Hs.284279	3163	HMOX2	heme oxygenase (decycling) 2	ENST00000219700	THC2520057	GO:0004392(heme oxygenase (decyclizing) activity)|GO:0005506(iron ion binding)|GO:0005783(endoplasmic reticulum)|GO:0005792(microsome)|GO:0006788(heme oxidation)|GO:0009055(electron carrier activity)|GO:0016021(integral to membrane)|GO:0046872(metal ion binding)	"Homo sapiens heme oxygenase (decycling) 2 (HMOX2), mRNA [NM_002134]"	chr16:4499723-4499782	hs|16p13.3
A_23_P100517	NM_145254	NM_145254	NM_145254	Hs.487510	124491	TMEM170	transmembrane protein 170	ENST00000357613	THC2631573	GO:0016021(integral to membrane)	"Homo sapiens transmembrane protein 170 (TMEM170), mRNA [NM_145254]"	chr16:74039009-74038950	hs|16q23.1
A_23_P100522	AK027211		AK027211	Hs.526500							"Homo sapiens cDNA: FLJ23558 fis, clone LNG09703. [AK027211]"	chr16:21039136-21039077	hs|16p12.2
A_23_P100539	NM_001171	NM_001171	NM_001171	Hs.442182	368	ABCC6	"ATP-binding cassette, sub-family C (CFTR/MRP), member 6"		THC2480873	"GO:0000166(nucleotide binding)|GO:0005215(transporter activity)|GO:0005524(ATP binding)|GO:0005886(plasma membrane)|GO:0006810(transport)|GO:0007601(visual perception)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016887(ATPase activity)|GO:0042493(response to drug)|GO:0042626(ATPase activity, coupled to transmembrane movement of substances)|GO:0050896(response to stimulus)"	"Homo sapiens ATP-binding cassette, sub-family C (CFTR/MRP), member 6 (ABCC6), transcript variant 1, mRNA [NM_001171]"	chr16:16151415-16151356	hs|16p13.11
A_23_P100556	NM_001013839	NM_001013839	NM_001013839	Hs.533985	23265	EXOC7	exocyst complex component 7	ENST00000332065	NP1160766	GO:0000145(exocyst)|GO:0006887(exocytosis)|GO:0015031(protein transport)	"Homo sapiens exocyst complex component 7 (EXOC7), transcript variant 1, mRNA [NM_001013839]"	chr17:71592993-71592201	hs|17q25.1
A_23_P100576	NM_002795	NM_002795	NM_002795	Hs.82793	5691	PSMB3	"proteasome (prosome, macropain) subunit, beta type, 3"	ENST00000225426	THC2753061	GO:0004298(threonine endopeptidase activity)|GO:0005634(nucleus)|GO:0005829(cytosol)|GO:0005839(proteasome core complex (sensu the Eukaryota research community))|GO:0006511(ubiquitin-dependent protein catabolic process)	"Homo sapiens proteasome (prosome, macropain) subunit, beta type, 3 (PSMB3), mRNA [NM_002795]"	chr17:34165715-34170214	hs|17q12
A_23_P100583	NM_006151	NM_006151	NM_006151	Hs.234742	4025	LPO	lactoperoxidase		THC2638292	GO:0004601(peroxidase activity)|GO:0005506(iron ion binding)|GO:0005509(calcium ion binding)|GO:0005575(cellular_component)|GO:0005615(extracellular space)|GO:0006979(response to oxidative stress)|GO:0016491(oxidoreductase activity)|GO:0042744(hydrogen peroxide catabolic process)|GO:0046872(metal ion binding)	"Homo sapiens lactoperoxidase (LPO), mRNA [NM_006151]"	chr17:53700362-53700421	hs|17q22
A_23_P100595	BC005072		BC005072	Hs.579262	84772	MGC13008	hypothetical protein MGC13008	ENST00000330153	THC2485019		"Homo sapiens hypothetical protein MGC13008, mRNA (cDNA clone MGC:13008 IMAGE:3532504), complete cds. [BC005072]"	chr17:17079883-17079824	hs|17p11.2
A_23_P10060	A_23_P10060												
A_23_P100602	NM_005993	NM_005993	NM_005993	Hs.464391	6904	TBCD	tubulin folding cofactor D	ENST00000334614	NP337279	GO:0005874(microtubule)|GO:0006457(protein folding)|GO:0007025(beta-tubulin folding)|GO:0051087(chaperone binding)	"Homo sapiens tubulin folding cofactor D (TBCD), mRNA [NM_005993]"	chr17:78488452-78488511	hs|17q25.3
A_23_P10062	NM_013244	NM_013244	NM_013244	Hs.126195	25834	MGAT4C	"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative)"	ENST00000332156	THC2488471	"GO:0005975(carbohydrate metabolic process)|GO:0008454(alpha-1,3-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity)|GO:0016020(membrane)|GO:0016758(transferase activity, transferring hexosyl groups)"	"Homo sapiens mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative) (MGAT4C), mRNA [NM_013244]"	chr12:84897403-84897344	hs|12q21.31
A_23_P100632	NM_001002033	NM_001002033	NM_001002033	Hs.532803	51155	HN1	hematological and neurological expressed 1	ENST00000304834	THC2547480	GO:0005634(nucleus)	"Homo sapiens hematological and neurological expressed 1 (HN1), transcript variant 3, mRNA [NM_001002033]"	chr17:70643757-70643698	hs|17q25.1
A_23_P100642	NM_002686	NM_002686	NM_002686	Hs.1892	5409	PNMT	phenylethanolamine N-methyltransferase	ENST00000269582	THC2477070	GO:0004603(phenylethanolamine N-methyltransferase activity)|GO:0008168(methyltransferase activity)|GO:0016740(transferase activity)|GO:0042423(catecholamine biosynthetic process)	"Homo sapiens phenylethanolamine N-methyltransferase (PNMT), mRNA [NM_002686]"	chr17:35080100-35080159	hs|17q12
A_23_P100654	NM_020899	NM_020899	NM_020899	Hs.645377	57659	ZBTB4	zinc finger and BTB domain containing 4	ENST00000380599	THC2658379		"Homo sapiens zinc finger and BTB domain containing 4 (ZBTB4), mRNA [NM_020899]"	chr17:7303729-7303670	hs|17p13.1
A_23_P100660	NM_002615	NM_002615	NM_002615	Hs.645378	5176	SERPINF1	"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1"	ENST00000382042	NP1187984	GO:0004867(serine-type endopeptidase inhibitor activity)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0007275(multicellular organismal development)|GO:0008283(cell proliferation)|GO:0016525(negative regulation of angiogenesis)|GO:0050769(positive regulation of neurogenesis)	"Homo sapiens serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1 (SERPINF1), mRNA [NM_002615]"	chr17:1627418-1627477	hs|17p13.3
A_23_P100676	NM_017575	NM_017575	NM_017575	Hs.448342	23293	SMG6	"Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)"	ENST00000263073	NP163914	"GO:0000184(mRNA catabolic process, nonsense-mediated decay)|GO:0000723(telomere maintenance)|GO:0000781(chromosome, telomeric region)|GO:0003677(DNA binding)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005694(chromosome)|GO:0005697(telomerase holoenzyme complex)|GO:0005737(cytoplasm)|GO:0006406(mRNA export from nucleus)|GO:0035303(regulation of dephosphorylation)|GO:0042162(telomeric DNA binding)"	"Homo sapiens Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans) (SMG6), mRNA [NM_017575]"	chr17:1910343-1910284	hs|17p13.3
A_23_P100693	NM_014877	NM_014877	NM_014877	Hs.631739	9931	HELZ	helicase with zinc finger	ENST00000358691	THC2492978	GO:0000166(nucleotide binding)|GO:0003676(nucleic acid binding)|GO:0004386(helicase activity)|GO:0005524(ATP binding)|GO:0005634(nucleus)|GO:0008270(zinc ion binding)|GO:0016787(hydrolase activity)|GO:0046872(metal ion binding)	"Homo sapiens helicase with zinc finger (HELZ), mRNA [NM_014877]"	chr17:62504795-62504736	hs|17q24.2
A_23_P100704	NM_139033	NM_139033	NM_139033	Hs.150136	5598	MAPK7	mitogen-activated protein kinase 7	ENST00000299612	THC2486785	GO:0000166(nucleotide binding)|GO:0004674(protein serine/threonine kinase activity)|GO:0004707(MAP kinase activity)|GO:0005524(ATP binding)|GO:0006468(protein amino acid phosphorylation)|GO:0007049(cell cycle)|GO:0007165(signal transduction)|GO:0016740(transferase activity)	"Homo sapiens mitogen-activated protein kinase 7 (MAPK7), transcript variant 1, mRNA [NM_139033]"	chr17:19227227-19227286	hs|17p11.2
A_23_P100711	NM_000304	NM_000304	NM_000304	Hs.372031	5376	PMP22	peripheral myelin protein 22	ENST00000312280	THC2500334	GO:0005615(extracellular space)|GO:0005624(membrane fraction)|GO:0005887(integral to plasma membrane)|GO:0007268(synaptic transmission)|GO:0007422(peripheral nervous system development)|GO:0007605(sensory perception of sound)|GO:0007638(mechanosensory behavior)|GO:0008285(negative regulation of cell proliferation)|GO:0016020(membrane)	"Homo sapiens peripheral myelin protein 22 (PMP22), transcript variant 1, mRNA [NM_000304]"	chr17:15073992-15073933	hs|17p12
A_23_P100730	NM_003726	NM_003726	NM_003726	Hs.316931	8631	SKAP1	src kinase associated phosphoprotein 1	ENST00000336915	THC2609803	GO:0004713(protein-tyrosine kinase activity)|GO:0005070(SH3/SH2 adaptor activity)|GO:0005515(protein binding)|GO:0006955(immune response)|GO:0007165(signal transduction)	"Homo sapiens src kinase associated phosphoprotein 1 (SKAP1), transcript variant 1, mRNA [NM_003726]"	chr17:43565888-43565829	hs|17q21.32
A_23_P100754	NM_022739	NM_022739	NM_022739	Hs.651125	64750	SMURF2	SMAD specific E3 ubiquitin protein ligase 2	ENST00000262435	THC2463544	GO:0000151(ubiquitin ligase complex)|GO:0004842(ubiquitin-protein ligase activity)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006511(ubiquitin-dependent protein catabolic process)|GO:0006512(ubiquitin cycle)|GO:0016481(negative regulation of transcription)|GO:0016874(ligase activity)|GO:0017015(regulation of transforming growth factor beta receptor signaling pathway)	"Homo sapiens SMAD specific E3 ubiquitin protein ligase 2 (SMURF2), mRNA [NM_022739]"	chr17:59974342-59974283	hs|17q24.1
A_23_P100764	NM_016016	NM_016016	NM_016016	Hs.514216	51629	SLC25A39	"solute carrier family 25, member 39"	ENST00000225308	THC2569354	GO:0005488(binding)|GO:0005739(mitochondrion)|GO:0005743(mitochondrial inner membrane)|GO:0006810(transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens solute carrier family 25, member 39 (SLC25A39), mRNA [NM_016016]"	chr17:39752964-39752905	hs|17q21.31
